SourceID,TargetID,Relationship Strenght
79,4572,"70,000%"
613,2639,"70,000%"
695,701,"70,000%"
2434,2624,"70,000%"
2550,10026,"70,000%"
2587,2913,"70,000%"
2597,7947,"70,000%"
2705,2828,"70,000%"
2953,4576,"70,000%"
3017,3467,"70,000%"
4013,4237,"70,000%"
7681,7989,"70,000%"
8585,2553,"70,000%"
8595,8546,"70,000%"
9966,5537,"70,000%"
1688,1921,"64,994%"
3097,10080,"64,935%"
9252,9254,"64,935%"
2423,2970,"64,922%"
890,6150,"64,870%"
8590,9287,"64,805%"
998,3918,"64,487%"
48,4169,"64,350%"
3181,8544,"64,350%"
10047,4556,"64,350%"
2916,3467,"64,220%"
8926,8924,"64,220%"
10046,3712,"64,155%"
8597,8646,"63,895%"
9116,9108,"63,895%"
3095,4304,"63,700%"
3573,10080,"63,700%"
8278,9308,"63,310%"
9466,8419,"63,310%"
2419,10080,"63,271%"
2449,7232,"63,050%"
3770,6444,"63,050%"
2781,4139,"63,037%"
9929,6178,"62,972%"
1716,7257,"62,725%"
2260,2063,"62,699%"
8552,8588,"62,660%"
2955,3973,"62,550%"
1516,523,"62,524%"
8194,9308,"62,335%"
892,8555,"62,270%"
2830,2343,"62,264%"
9476,6882,"62,140%"
1450,2174,"61,965%"
10105,1921,"61,776%"
133,491,"61,750%"
2456,10080,"61,750%"
2666,2572,"61,750%"
3105,3468,"61,750%"
8590,8575,"61,620%"
2090,6125,"61,581%"
1683,2133,"61,289%"
1652,2967,"61,198%"
3058,10080,"61,100%"
3095,514,"61,100%"
2731,5112,"61,035%"
8579,8547,"60,905%"
1465,2133,"60,645%"
3263,7637,"60,450%"
1242,6125,"60,229%"
2593,2381,"60,158%"
4258,4219,"59,800%"
9666,5140,"59,800%"
1221,1986,"59,768%"
693,604,"59,293%"
8736,9150,"59,215%"
2648,4301,"59,150%"
4688,3902,"59,150%"
2672,3567,"59,085%"
1213,4202,"58,708%"
8591,8545,"58,630%"
3035,3486,"58,500%"
3649,5112,"58,500%"
4470,5112,"58,500%"
1807,6452,"58,045%"
4613,10080,"57,980%"
1700,1921,"57,850%"
3911,10080,"57,850%"
3036,6441,"57,720%"
8199,9308,"57,655%"
2288,1789,"57,597%"
3617,10080,"57,200%"
4779,4779,"57,200%"
1680,1921,"56,713%"
4779,4779,"56,550%"
2012,2174,"56,485%"
3112,3973,"56,180%"
9789,3381,"56,089%"
1645,1908,"55,920%"
2564,4197,"55,900%"
3054,4577,"55,900%"
1328,1787,"55,848%"
804,7374,"55,822%"
1303,1989,"55,660%"
2292,2053,"55,543%"
1498,5108,"55,263%"
52,5537,"55,250%"
1577,1921,"55,250%"
4421,10080,"55,120%"
4482,4481,"54,990%"
1186,6506,"54,964%"
8107,9415,"54,795%"
9131,9108,"54,665%"
2704,3230,"54,600%"
4313,3570,"54,600%"
8591,9100,"54,535%"
1339,1577,"54,191%"
3874,4237,"54,041%"
1727,2156,"54,015%"
3904,3906,"53,950%"
4123,10080,"53,950%"
2089,1771,"53,560%"
1625,4824,"53,463%"
8594,8588,"53,300%"
9823,6702,"53,222%"
1178,522,"53,209%"
1717,5849,"53,196%"
8578,8261,"52,910%"
2887,8545,"52,858%"
4170,3713,"52,780%"
3777,10080,"52,650%"
8592,6226,"52,650%"
10063,10023,"52,650%"
98,10080,"52,572%"
9837,3550,"52,364%"
2577,4139,"52,325%"
8550,8544,"52,195%"
2747,10080,"52,000%"
1585,1921,"51,922%"
1711,1776,"51,578%"
8596,5443,"51,480%"
2687,8544,"51,370%"
90,10080,"51,350%"
2527,2978,"51,350%"
871,7347,"51,220%"
1501,2133,"51,025%"
1563,1908,"50,941%"
2457,5112,"50,765%"
2867,2709,"50,700%"
4021,10080,"50,700%"
3915,5112,"50,635%"
4185,7197,"50,310%"
2088,4989,"49,537%"
3175,1921,"49,400%"
3930,10080,"49,400%"
4009,10080,"49,400%"
9823,5639,"49,335%"
8281,9308,"49,270%"
9863,9701,"49,264%"
3078,10080,"49,205%"
9038,8998,"49,205%"
661,9880,"49,192%"
8265,8275,"49,153%"
2533,5166,"48,984%"
8288,8334,"48,880%"
9125,4386,"48,880%"
2519,3685,"48,750%"
4338,2356,"48,750%"
1196,4202,"48,594%"
1275,5849,"48,464%"
10113,2709,"48,302%"
8986,6353,"48,165%"
86,5112,"48,100%"
89,755,"48,100%"
1548,1921,"48,100%"
3047,2924,"48,100%"
7929,9493,"47,970%"
9495,6501,"47,697%"
8982,6700,"47,645%"
1910,1862,"47,483%"
3807,3808,"47,450%"
3937,10080,"47,450%"
871,7130,"47,125%"
3784,10080,"46,930%"
2758,3973,"46,800%"
4136,8989,"46,800%"
4671,4436,"46,800%"
1276,1748,"46,774%"
1612,1921,"46,417%"
2465,10080,"46,150%"
3113,2732,"46,020%"
1926,389,"45,539%"
2471,6268,"45,500%"
3195,7947,"45,500%"
3658,4892,"45,435%"
10040,5056,"45,266%"
1695,5044,"45,006%"
8989,2709,"44,896%"
2427,10080,"44,850%"
1545,1921,"44,805%"
9162,9109,"44,720%"
1660,4202,"44,590%"
7667,7774,"44,525%"
7631,5768,"44,363%"
891,8341,"44,200%"
2552,2843,"44,200%"
3195,2796,"44,200%"
3367,4237,"44,200%"
4387,10080,"44,200%"
4705,3894,"44,200%"
770,9415,"44,135%"
8672,8671,"44,135%"
3272,2796,"43,934%"
9665,4323,"43,680%"
9731,7420,"43,596%"
71,3627,"43,550%"
2706,4139,"43,550%"
2743,9779,"43,550%"
3560,3877,"43,550%"
4249,3713,"43,550%"
4268,10080,"43,550%"
2128,3877,"43,355%"
9881,3550,"43,206%"
2169,2118,"43,186%"
1391,5215,"43,180%"
2915,5112,"43,160%"
9879,9707,"43,108%"
1701,2133,"43,024%"
1633,8959,"42,946%"
4757,30,"42,900%"
7704,7779,"42,900%"
10056,4354,"42,900%"
8369,9470,"42,803%"
8462,9242,"42,575%"
8589,8553,"42,575%"
1002,3918,"42,510%"
2549,4273,"42,510%"
8078,9305,"42,445%"
3624,10080,"42,380%"
2615,4202,"42,250%"
2868,4237,"42,250%"
10069,5149,"42,250%"
9700,2709,"42,153%"
59,3399,"42,120%"
8473,7581,"42,055%"
9135,9108,"42,055%"
9464,9290,"41,990%"
1530,1921,"41,737%"
8416,5569,"41,730%"
3149,10080,"41,600%"
4727,3605,"41,600%"
3738,10080,"41,444%"
1986,1908,"41,399%"
1995,2023,"41,386%"
2676,8544,"41,145%"
2502,3713,"40,950%"
2763,6027,"40,950%"
4708,4566,"40,950%"
2162,2053,"40,846%"
1541,2215,"40,697%"
8580,4139,"40,625%"
49,7358,"40,300%"
54,4334,"40,300%"
83,10080,"40,300%"
1602,1921,"40,300%"
2839,6782,"40,300%"
3769,10080,"40,300%"
3992,5112,"40,300%"
8162,9469,"40,300%"
8676,8671,"40,300%"
9933,5090,"40,300%"
2738,4304,"40,209%"
1605,1776,"40,144%"
1719,1340,"40,092%"
8285,9308,"40,040%"
615,7161,"39,956%"
866,8441,"39,845%"
9136,4386,"39,845%"
100,10080,"39,650%"
3067,10080,"39,650%"
3176,2828,"39,650%"
1346,2023,"39,397%"
93,3170,"39,390%"
9888,5023,"39,364%"
840,9471,"39,325%"
9833,2709,"39,052%"
29,5112,"39,000%"
2616,10080,"39,000%"
3242,3602,"39,000%"
3327,3827,"39,000%"
2679,4184,"38,922%"
847,8413,"38,870%"
8374,3727,"38,870%"
8583,8651,"38,870%"
7639,7884,"38,838%"
1674,1843,"38,812%"
8855,5573,"38,740%"
2432,3843,"38,480%"
2713,6445,"38,350%"
2930,4237,"38,350%"
7786,5152,"38,318%"
629,9753,"38,162%"
799,7281,"38,155%"
1371,5512,"38,129%"
1019,5481,"37,895%"
3410,9417,"37,804%"
9011,8973,"37,765%"
2517,5514,"37,700%"
2646,3653,"37,700%"
3026,2796,"37,700%"
3957,2709,"37,700%"
4239,4491,"37,700%"
4667,4884,"37,700%"
8135,9469,"37,700%"
8166,9308,"37,700%"
9750,6930,"37,661%"
1571,1908,"37,635%"
1675,3486,"37,531%"
838,9295,"37,440%"
873,9287,"37,375%"
8369,3727,"37,375%"
9821,9640,"37,317%"
9233,9050,"37,180%"
783,9229,"37,115%"
9473,3727,"37,115%"
1419,1921,"37,096%"
2896,5630,"37,050%"
8088,9469,"36,985%"
1596,1921,"36,920%"
2524,4488,"36,855%"
8594,5588,"36,855%"
2968,3605,"36,771%"
1278,1494,"36,745%"
996,3918,"36,595%"
8282,9291,"36,530%"
2487,5463,"36,400%"
3065,6012,"36,400%"
3237,3468,"36,400%"
3707,10080,"36,400%"
10030,7697,"36,400%"
1705,2967,"36,212%"
610,603,"36,205%"
9891,7067,"36,049%"
8146,9415,"36,010%"
9179,9050,"36,010%"
8137,9415,"35,945%"
7784,7959,"35,835%"
1780,1994,"35,783%"
2771,4148,"35,750%"
3356,2924,"35,750%"
4382,4408,"35,750%"
4592,4025,"35,750%"
4781,3862,"35,750%"
1211,1772,"35,705%"
1565,3141,"35,685%"
4670,10080,"35,555%"
