SourceID,TargetID,Relationship Strenght
4434,4,70000%
4434,968,70000%
4434,17023,70000%
3435,12,70000%
3435,14218,70000%
3435,3490,70000%
3435,5954,70000%
3435,21276,70000%
3435,21332,70000%
3435,20961,70000%
3435,21446,70000%
3435,21484,70000%
3435,15413,70000%
6093,67,70000%
4910,78,70000%
4910,5652,64994%
4910,5856,64935%
4910,17244,64935%
4910,17244,64922%
4910,22186,64870%
4910,10778,64805%
5501,100,64487%
5501,6787,64350%
5501,16947,64350%
5501,17032,64350%
5501,21475,64220%
5501,30000,64220%
5501,13012,64155%
5068,184,63895%
10860,16007,63895%
4153,16073,63700%
4153,2027,63700%
4153,2123,63310%
4153,2127,63310%
4153,2153,63271%
4153,3975,63050%
4153,4131,63050%
4153,6068,63037%
4153,6367,62972%
4153,6469,62725%
4153,6541,62699%
4153,6719,62660%
4153,6770,62550%
4153,6842,62524%
4153,6847,62335%
4153,6956,62270%
4153,7113,62264%
4153,7558,62140%
4153,7581,61965%
4153,7662,61776%
4153,7768,61750%
4153,17502,61750%
4153,17272,61750%
4153,12272,61750%
3708,15205,61620%
3708,3491,61581%
3708,22275,61289%
3708,20680,61198%
8705,355,61100%
3363,388,61100%
3363,15368,61035%
3363,22165,60905%
3363,20896,60645%
3363,20884,60450%
3363,20913,60229%
4549,419,60158%
4549,7411,59800%
4549,16657,59800%
7886,443,59768%
7886,4448,59293%
7886,4649,59215%
7886,7886,59150%
7886,7886,59150%
7886,8254,59085%
7886,20431,58708%
7886,17595,58630%
7886,20429,58500%
7886,18070,58500%
7886,20430,58500%
7886,17596,58045%
7886,17581,57980%
7886,17592,57850%
12430,539,57850%
12430,629,57720%
12430,4121,57655%
12430,6306,57597%
12430,7462,57200%
12430,7462,57200%
12430,16402,56713%
12430,16402,56550%
12430,17236,56485%
12430,12622,56180%
12430,30000,56089%
12430,12784,55920%
560,543,55900%
535,583,55900%
535,14867,55848%
535,643,55822%
535,2960,55660%
535,2977,55543%
535,4074,55263%
535,6221,55250%
535,6405,55250%
535,6446,55120%
535,7257,54990%
535,20592,54964%
535,20593,54795%
535,12550,54665%
2211,16016,54600%
