id,name,industry,country,sent,price,itemCount
4488,alnc.,Consumer Staples,United States,64,12%,8
4302,hirp.,Energy,China,8,-6%,5
5166,hiion,Energy,China,34,-6%,1
4386,oyion,Consumer Discretionary,Japan,35,4%,6
4584,ol AG,Consumer Discretionary,Germany,39,2%,1
4237,oyplc,Energy,Netherlands,30,7%,5
2709,ppnc.,Information Technology,United States,26,-5%,6
3607,ernc.,Financials,United States,66,8%,5
5160,hiion,Energy,China,26,3%,8
4513,xxion,Energy,United States,40,1%,8
4045,cKion,Healthcare,United States,62,4%,6
4430,nited,Healthcare,United States,55,4%,3
3605,P .c.,Energy,United Kingdom,62,8%,1
7774,ettd.,Energy,China,90,8%,5
3712,VSion,Consumer Staples,United States,65,-4%,6
1921,amtd.,Information Technology,South Korea,60,-5%,1
10112,ai AG,Consumer Discretionary,Germany,46,3%,0
3877,enany,Consumer Discretionary,United States,90,-3%,4
4350,T&nc.,Telecommunication Services,United States,51,-2%,7
2343,lePlc,Materials,Switzerland,67,-1%,5
3827,orany,Consumer Discretionary,United States,64,4%,4
3468,meion,Healthcare,United States,84,0%,4
7904,hited,Industrials,China,68,8%,5
498,XA SA,Financials,France,8,-2%,0
9674,ontd.,Information Technology,Taiwan,48,-5%,4
2756,manc.,Consumer Discretionary,United States,84,6%,3
3918,ontd.,Consumer Discretionary,Japan,26,1%,2
4392,OT.A.,Energy,France,5,-2%,7
3627,arnc.,Healthcare,United States,97,-3%,4
4463,ernc.,Telecommunication Services,United States,65,-1%,2
8833,aptd.,Financials,Japan,25,-2%,7
3829,ia.V.,Consumer Discretionary,United Kingdom,5,1%,4
2858,osion,Consumer Staples,United States,10,-4%,0
3862,enany,Industrials,United States,85,3%,8
391,ll SE,Financials,Germany,52,5%,0
3380,alnc.,Consumer Staples,United States,61,-4%,6
7690,intd.,Financials,China,96,4%,8
3999,heCo.,Consumer Staples,United States,23,3%,8
7860,AIted,Consumer Discretionary,China,21,-2%,2
9108,istd.,Consumer Discretionary,Japan,22,5%,2
3653,hited,Telecommunication Services,Hong Kong,97,8%,0
9469,ipion,Telecommunication Services,Japan,85,-3%,7
395,ayaft,Consumer Discretionary,Germany,5,-6%,4
3713,heion,Energy,United States,17,8%,3
2924,xpany,Healthcare,United States,65,3%,3
2371,ruplc,Financials,United Kingdom,73,-4%,8
3902,henc.,Consumer Discretionary,United States,94,2%,3
3570,heany,Industrials,United States,55,-6%,3
2402,ubrom,Energy,Russia,74,0%,0
181,ss.A.,Financials,Italy,71,-7%,1
4578,es.A.,Consumer Staples,Switzerland,28,-7%,6
3978,PMCo.,Financials,United States,58,3%,4
2967,lpnc.,Information Technology,United States,74,4%,1
4750,ieaft,Industrials,Germany,17,8%,4
494,ar SA,Consumer Staples,France,84,-2%,8
4574,ittd.,Information Technology,Japan,97,8%,2
3134,icion,Information Technology,United States,13,5%,2
7662,ndted,Financials,China,10,0%,2
3519,ntnc.,Healthcare,United States,62,-1%,5
4475,elany,Financials,United States,57,8%,2
401,eu AG,Telecommunication Services,Germany,92,-4%,7
9566,ofrp.,Telecommunication Services,Japan,72,3%,2
4690,ubOIL,Energy,Russia,5,1%,3
1908,yuany,Consumer Discretionary,South Korea,95,6%,7
4178,etras,Energy,Brazil,19,8%,3
2843,omion,Consumer Discretionary,United States,28,2%,5
3572,anion,Financials,United States,51,0%,8
3944,ntion,Information Technology,United States,72,-2%,8
500,le SA,Utilities,France,46,2%,8
2393,esPLC,Consumer Staples,United Kingdom,73,-6%,8
179,neSpA,Utilities,Italy,24,6%,0
9364,eotd.,Consumer Staples,Japan,94,-3%,0
501,NG SA,Utilities,France,59,-8%,3
7783,hiion,Financials,China,34,-4%,7
9285,arion,Industrials,Japan,18,0%,1
479,ir SE,Industrials,Netherlands,0,-4%,8
8679,X nc.,Energy,Japan,49,3%,4
3973,ohson,Healthcare,United States,13,-1%,2
7368,niice,Government Institution,United States,83,3%,0
9289,oyion,Industrials,Japan,69,7%,8
4219,hi 66,Energy,United States,56,2%,5
4452,alion,Energy,United States,65,7%,3
4373,arion,Consumer Discretionary,United States,1,2%,6
4301,onion,Consumer Discretionary,Japan,6,5%,5
7953,ur AG,Financials,Switzerland,87,3%,3
8998,anion,Consumer Discretionary,Japan,48,-7%,8
7657,heted,Financials,China,43,-3%,5
10123,UD AG,Consumer Discretionary,Germany,89,-7%,5
4190,heany,Consumer Staples,United States,96,2%,2
4025,ownc.,Consumer Discretionary,United States,59,2%,0
10114,eu AG,Industrials,Germany,69,7%,8
4566,AS SE,Materials,Germany,79,-8%,3
4053,etnc.,Financials,United States,92,8%,0
3484,etnc.,Healthcare,United States,83,0%,0
3621,itnc.,Financials,United States,79,-4%,1
4184,epnc.,Consumer Staples,United States,78,-3%,6
7723,anted,Financials,China,93,0%,1
3477,rcany,Consumer Staples,United States,80,0%,7
3776,niSpA,Energy,Italy,95,-4%,2
9397,ainc.,Financials,Japan,44,6%,6
4434,ninc.,Industrials,United States,36,5%,8
2396,odPlc,Telecommunication Services,United Kingdom,49,-1%,7
4217,runc.,Financials,United States,100,3%,4
534,eu.A.,Consumer Discretionary,France,90,-6%,8
4866,lbLLC,Consumer Staples,United States,50,-1%,1
3023,ntion,Information Technology,United States,40,-1%,0
4363,el.A.,Telecommunication Services,Spain,28,-6%,1
456,ni.V.,Consumer Staples,Netherlands,23,4%,8
2394,niPLC,Consumer Staples,United Kingdom,54,0%,3
3836,edion,Industrials,United States,75,-5%,4
4440,niion,Industrials,United States,100,2%,8
9308,ition,Industrials,Japan,42,6%,7
4086,rctal,Materials,Luxembourg,24,-3%,5
523,en SA,Consumer Discretionary,France,89,3%,4
6646,etnos,Energy,Mexico,57,8%,0
4074,arion,Energy,United States,8,2%,7
3771,elnc.,Information Technology,United States,4,1%,0
3742,heany,Consumer Discretionary,United States,16,4%,0
3551,viplc,Financials,United Kingdom,47,5%,1
440,on.V.,Consumer Staples,Netherlands,89,-2%,5
2137,K td.,Industrials,South Korea,7,6%,7
3937,umnc.,Healthcare,United States,37,-1%,3
7947,oc AG,Healthcare,Switzerland,24,0%,2
4349,ysion,Consumer Staples,United States,48,1%,3
4188,finc.,Healthcare,United States,6,-4%,0
8334,evtd.,Consumer Staples,Japan,82,8%,7
3647,hitd.,Telecommunication Services,China,97,-7%,1
2053,orrp.,Utilities,South Korea,72,8%,5
4567,ay AG,Healthcare,Germany,30,-1%,6
3516,me.V.,Telecommunication Services,Mexico,51,-3%,0
3494,menc.,Financials,United States,10,4%,5
157,ested,Consumer Staples,Australia,15,8%,0
9480,okted,Utilities,Japan,18,2%,2
6648,ethad,Energy,Malaysia,52,5%,3
4139,ov AG,Healthcare,Switzerland,94,1%,3
9396,S&nc.,Financials,Japan,45,7%,4
3924,ewany,Information Technology,United States,92,-2%,2
3925,P nc.,Information Technology,United States,100,0%,8
2869,isnc.,Information Technology,United States,44,5%,2
421,WE AG,Utilities,Germany,98,-8%,7
415,ET AG,Consumer Staples,Germany,91,-3%,4
2174,G nc.,Consumer Discretionary,South Korea,47,-8%,5
3754,heany,Materials,United States,33,6%,2
5157,hiion,Healthcare,China,66,1%,8
4202,OSSCO,Materials,South Korea,54,3%,8
1766,iarp.,Consumer Discretionary,South Korea,35,-8%,6
4329,taASA,Energy,Norway,91,2%,6
519,range,Telecommunication Services,France,37,-3%,4
398,onaft,Consumer Discretionary,Germany,81,-8%,6
3931,SBplc,Financials,United Kingdom,38,8%,0
493,NP SA,Financials,France,16,-6%,0
10129,hy AG,Materials,Germany,94,-5%,0
9470,DDion,Telecommunication Services,Japan,96,-5%,8
3455,elted,Energy,India,66,1%,6
526,om.A.,Industrials,France,38,5%,1
403,.O SE,Utilities,Germany,77,6%,4
3727,TTnc.,Telecommunication Services,Japan,91,8%,3
3585,unted,Consumer Staples,United States,59,-3%,8
4576,ented,Information Technology,Hong Kong,48,-3%,6
3995,heany,Consumer Staples,United States,33,3%,1
4570,ujted,Information Technology,Japan,41,-6%,6
8716,ipion,Materials,Japan,61,-5%,5
276,atted,Consumer Discretionary,India,28,-5%,8
515,VM.E.,Consumer Discretionary,France,21,2%,4
3898,CAnc.,Healthcare,United States,83,2%,7
9050,ENion,Consumer Discretionary,Japan,5,-8%,4
3655,hited,Telecommunication Services,Hong Kong,24,-4%,6
1782,anrp.,Industrials,South Korea,32,5%,8
3950,ngnc.,Information Technology,United States,73,5%,3
9372,umnc.,Financials,Japan,28,0%,3
2708,menc.,Industrials,United States,49,3%,0
10001,anion,Financials,Canada,57,-8%,3
497,asyme,Consumer Staples,France,60,-2%,3
4080,ernc.,Healthcare,United States,36,-3%,1
3656,igion,Healthcare,United States,42,-8%,3
3721,elnc.,Industrials,United States,2,-4%,5
9371,itnc.,Financials,Japan,39,-5%,4
3578,esnc.,Consumer Discretionary,United States,56,-3%,6
9293,ittd.,Industrials,Japan,33,-6%,7
3922,onnc.,Industrials,United States,21,2%,1
8936,ition,Industrials,Japan,58,3%,6
3051,D.nc.,Consumer Discretionary,China,5,3%,6
7584,F  AG,Consumer Discretionary,Germany,94,-3%,0
7637,intd.,Healthcare,China,24,0%,3
3631,atnc.,Industrials,United States,54,5%,7
4304,anofi,Healthcare,France,59,2%,0
9305,umion,Industrials,Japan,87,0%,2
205,an.A.,Financials,Spain,7,1%,1
3676,enion,Healthcare,United States,79,4%,8
9833,egion,Information Technology,Taiwan,91,2%,6
3815,ne.P.,Energy,United States,87,0%,6
4164,raion,Information Technology,United States,23,-6%,1
8935,osion,Industrials,Japan,49,-5%,7
3326,-Mnc.,Telecommunication Services,United States,84,8%,0
6709,T ro),Energy,Indonesia,99,5%,8
4021,ocion,Industrials,United States,92,-3%,0
4407,ysnc.,Consumer Staples,United States,45,8%,1
7812,TTted,Energy,Thailand,41,3%,7
3889,laplc,Healthcare,United Kingdom,55,3%,3
2386,SEplc,Utilities,United Kingdom,71,7%,0
7905,RRted,Industrials,China,47,3%,0
4420,ninc.,Industrials,United States,76,-1%,3
3503,heion,Financials,United States,40,3%,6
4978,aoion,Materials,China,64,3%,1
4055,agnc.,Consumer Discretionary,Canada,72,-7%,0
308,ajtd.,Consumer Discretionary,India,11,6%,5
9098,ittd.,Industrials,Japan,36,4%,4
3969,ohplc,Industrials,Ireland,98,-7%,6
9910,linc.,Consumer Staples,Canada,38,1%,8
7954,hitd.,Real Estate,China,41,-8%,2
380,.PA/S,Industrials,Denmark,23,3%,2
9979,renc.,Financials,Canada,99,6%,5
7623,auion,Materials,Saudi Arabia,8,-6%,2
4585,B bl),Industrials,Sweden,0,-8%,6
9994,obted,Consumer Staples,Canada,65,1%,3
413,euaft,Industrials,Germany,50,7%,8
3576,HPplc,Materials,United Kingdom,17,-1%,0
3589,HPted,Materials,Australia,63,0%,0
4082,orley,Financials,United States,42,2%,7
8260,ojion,Industrials,Japan,26,0%,6
2229,K td.,Energy,South Korea,3,7%,7
1980,yutd.,Industrials,South Korea,54,4%,3
4115,IKnc.,Consumer Discretionary,United States,1,-2%,6
7935,BBtd.,Industrials,Switzerland,56,4%,2
2375,ioplc,Materials,United Kingdom,56,-1%,1
3474,ccplc,Information Technology,Ireland,4,8%,4
7042,ocis.,Industrials,France,62,-7%,7
7630,K ted,Industrials,Hong Kong,62,6%,6
2023,yutd.,Consumer Discretionary,South Korea,40,-7%,2
2379, Splc,Consumer Staples,United Kingdom,75,2%,3
4379,henc.,Consumer Discretionary,United States,60,-1%,5
6715,ubnc.,Consumer Staples,United States,17,7%,7
9284,TOion,Industrials,Japan,12,3%,7
4273,prion,Telecommunication Services,United States,68,2%,6
4231,ition,Consumer Staples,United States,52,5%,4
202,be.A.,Utilities,Spain,95,-8%,8
407,reGaA,Healthcare,Germany,63,4%,6
8129,aitd.,Real Estate,Japan,54,-6%,7
9136,istd.,Consumer Discretionary,Japan,41,-1%,1
3724,eu AG,Financials,Germany,45,-5%,5
8501,ition,Materials,Japan,99,6%,6
3632,huted,Financials,Switzerland,47,-5%,6
9229,annc.,Information Technology,Japan,91,-6%,0
3825,xeion,Utilities,United States,69,-5%,5
3858,enion,Industrials,United States,78,-3%,8
459,nh/NV,Consumer Staples,Belgium,93,-8%,3
3611,T plc,Telecommunication Services,United Kingdom,68,2%,7
4610,riion,Consumer Discretionary,Japan,81,2%,1
9395,omnc.,Financials,Japan,6,8%,8
2959,ilnc.,Healthcare,United States,10,-4%,4
5184,HSnc.,Consumer Staples,United States,39,-4%,3
4445,al.A.,Materials,Brazil,55,7%,4
4062,M any,Industrials,United States,97,-3%,4
9141,ujtd.,Consumer Discretionary,Japan,47,-7%,4
3562,meany,Financials,United States,61,1%,1
9138,azion,Consumer Discretionary,Japan,34,-8%,2
4406,aited,Information Technology,Taiwan,2,-1%,4
8720,FEnc.,Materials,Japan,78,-5%,2
4049,edplc,Healthcare,Ireland,69,6%,4
4416,imnc.,Consumer Discretionary,United States,70,-4%,2
