id,name,ticker,industry,country,sent,price,itemCount
16117,Customer A,Private:Customer A,Others,Others,8,-6%,25
16106, S.A.D,Private: S.A.D,Others,Others,34,-6%,7
16107,5 Largest customers,Private:5 Laromers,Others,Others,35,4%,20
16108,Advanced Radiation Centers of New York,Private:Advan York,Others,Others,39,2%,20
21024,Advanced Transportation Technology R&D Co.,Private:Advanced y R&D Co.,Others,Others,30,7%,23
22379,"Alexander & Sun Co., Ltd.","Private:AlexanderCo., Ltd.",Others,Others,62,4%,22
22385,Allrange Company Ltd.,Private:Allrange pany Ltd.,Others,Others,55,4%,15
22401,Aucnet Inc. ,Private:Aucnet Innet Inc. ,Others,Others,51,-2%,11
22400,"BDS COMPANY.,INC","Private:BDS COMPAPANY.,INC",Others,Others,64,4%,13
16112,BDS Co. Inc.,Private:BDSnc.,Others,Others,84,0%,9
16113,"Biotronik, Johnson & Johnson  (NYSE:JNJ) , Medtronic (NYSE:MDT), St. Jude Medica  (NYSE:STJ)",Private:BiotSTJ),Others,Others,26,1%,10
16114,Bon Secours DePaul and Maryview Medical Center,Private:Bon Senter,Others,Others,5,-2%,7
16178,Commercial aviation,Private:Commeation,Others,Others,94,2%,9
22384,Computron Company Ltd ,Private:Computronpany Ltd ,Others,Others,55,-6%,20
16117,Customer A,Private:Customer A,Others,Others,28,-7%,14
22354,"Energy Management Products, LLC","Private:Energ, LLC",Others,Others,28,2%,21
21003,Enterone Co. Ltd,Private:Enterone e Co. Ltd,Others,Others,51,0%,10
16122,European Union (WavePort Project),Private:Eurect),Others,Others,46,2%,23
16126,"GlobeNet, Inc.",Private:Globe Inc.,Others,Others,0,-4%,16
22386,"Golden Foods Co., Ltd.","Private:Golden FoCo., Ltd.",Others,Others,49,3%,5
16128,"Guangdong Broadcasting TV Network Co., Ltd",Private:GuaLtd,Others,Others,13,-1%,10
16138,"Metropark, Ltd.",Private:Metro Ltd.,Others,Others,15,8%,21
16141,National University Corporation Tsukuba University of Technology,Private:Natogy,Others,Others,44,5%,8
22356,NILE,Private:NILELE,Others,Others,47,-8%,12
22387,Nova Holdings Co Ltd,Private:Nova Holdgs Co Ltd,Others,Others,91,2%,24
22408,Pet Office Inc,Private:Pet Officffice Inc,Others,Others,38,5%,12
16151,RasGas Company Limited -> Qatar Petroleum,Private:Raseum,Others,Others,33,3%,9
16152,Retail Group of America ,Private:Retairica ,Others,Others,28,-5%,18
16153,"Rico Co., Ltd",Private:RicLtd,Others,Others,83,2%,25
16157,Shiga Prefecture,Private:Shiure,Others,Others,56,-3%,7
16158,"Showa Leasing Co., Ltd. -> Shinsei Bank Ltd",Private:ShoLtd,Others,Others,33,-6%,15
16161,"Tengda Northwest Ferroalloy Co., Ltd.",Private:Tengd Ltd.,Others,Others,45,8%,7
16162,the City of Elk Grove,Private:the CGrove,Others,Others,41,3%,11
16163,"The Japan Liquor Sale Co., Ltd",Private:TheLtd,Others,Others,47,3%,6
22394,Transit General Office Inc,Private:Transit Gffice Inc,Others,Others,98,-7%,6
21002,United States Army Corps Of Engineers Engineering Officer School Fort Belvoir Va,Private:United Stelvoir Va,Others,Others,99,6%,7
16166,University of Pittsburg Medical Center – Mercy,Private:UniveMercy,Others,Others,8,-6%,22
22409,VHA Inc,Private:VHA IncVHA Inc,Others,Others,17,-1%,7
16169,"Wuhan Weikaer Steel Wire Product Co., Ltd","Private:Wuhan, Ltd",Others,Others,26,0%,22
16173,York Cancer Center,Private:York enter,Others,Others,60,-1%,19
20457,AnyWARE Inc.,Private:AnyWARE IWARE Inc.,Others,Others,75,-3%,12
16726,Arabian Centres Company Limited,Private:Arabimited,Others,Others,10,3%,25
17291,National Iranian Oil Company,Private:Natiompany,Others,Others,59,2%,9
17597,PDK Machine Shop Ltd,Private:PDK MachLtd,Others,Others,92,6%,5
17239,PT Asia Paramita Indah,Private:PT AsIndah,Others,Others,37,0%,23
21887,Air Algeria SPA,Private:Air Algergeria SPA,Industrials,Algeria,34,6%,14
17262,Cevital SPA,Private:Cevitl SPA,Industrials,Algeria,59,-5%,15
22084,Hansung Ar SA,Private:Hansung Aung Ar SA,Consumer Staples,Argentina,66,-1%,16
749,Petrobras Argentina SA,BASE:PESA,Energy,Argentina,42,-8%,13
17601,"Grupo Techint, S.A. de C.V.",Private:Gru de C.V.,Industrials,Argentina,28,8%,23
7735,Ternium S.A.,NYSE:TX,Materials,Argentina,40,3%,23
17290,CAMMESA S.A.,Private:CAMME S.A.,Utilities,Argentina,21,1%,19
21740,Inner Mongolia Mengtai Buliangou Coal Industry Co. Ltd,Private:Inner Mony Co. Ltd,Others,Australia,40,-1%,9
21717,Naval Ship Management (australia) Pty Limited,Private:Naval Shiy Limited,Others,Australia,98,-8%,23
531,APN News & Media Ltd.,ASX:APN,Consumer Discretionary,Australia,23,-5%,10
16016,Harris Technology Group Limited,ASX:HT8,Consumer Discretionary,Australia,91,-1%,5
21284,Allpower Industries Pty Ltd,Private:Allpower s Pty Ltd,Consumer Discretionary,Australia,39,1%,17
647,Select Harvests Limited,ASX:SHV,Consumer Staples,Australia,24,0%,17
585,Farm Pride Foods Limited,ASX:FRM,Consumer Staples,Australia,34,-7%,24
674,Wesfarmers Limited,ASX:WES,Consumer Staples,Australia,94,4%,5
677,Woolworths Limited,ASX:WOW,Consumer Staples,Australia,13,-3%,12
21783,Days Eggs Pty Ltd,Private:Days Eggss Pty Ltd,Consumer Staples,Australia,3,-2%,11
21782,Pure Foods Eggs Pty Ltd.,Private:Pure Food Pty Ltd.,Consumer Staples,Australia,31,1%,15
627,Oilex Ltd.,ASX:OEX,Energy,Australia,37,-4%,16
679,Yancoal Australia Ltd,ASX:YAL,Energy,Australia,43,-7%,15
539,AWE Limited,ASX:AWE,Energy,Australia,91,-1%,9
629,Origin Energy Limited,ASX:ORG,Energy,Australia,99,5%,25
678,Woodside Petroleum Ltd.,ASX:WPL,Energy,Australia,9,-6%,18
21509,United Terminals Pty. Ltd.,Private:United TePty. Ltd.,Energy,Australia,61,-3%,25
16403,Australia Government,Private:Ausent,Government Institution,Australia,25,4%,22
16433,Australian Customs and Border Protection Service,Private:Australi Service,Government Institution,Australia,15,7%,16
608,LBT Innovations Limited,ASX:LBT,Healthcare,Australia,9,-7%,16
561,CogState Limited,ASX:CGS,Healthcare,Australia,31,-7%,19
661,Universal Biosensors Inc.,ASX:UBI,Healthcare,Australia,57,-2%,18
16030,TBG Diagnostics Limited,ASX:TDL,Healthcare,Australia,77,-4%,12
535,Ausdrill Ltd.,ASX:ASL,Industrials,Australia,15,6%,6
534,Austal Ltd.,ASX:ASB,Industrials,Australia,14,-1%,21
669,Veris Limited,ASX:VRS,Industrials,Australia,35,4%,21
17447,Canstruct Pty Ltd,Private:Canstruc Pty Ltd,Industrials,Australia,12,2%,22
17327,CEC Group Ltd.,Private:CEC G Ltd.,Industrials,Australia,26,3%,19
21605,Jord Pty Limited,Private:Jord Pty y Limited,Industrials,Australia,62,-6%,20
20593,Piacentini & Son Pty Ltd.,Private:Piacentin Pty Ltd.,Industrials,Australia,56,7%,8
611,Mobile Embrace Limited,ASX:MBE,Information Technology,Australia,26,7%,6
295,Seeing Machines Limited,AIM:SEE,Information Technology,Australia,21,-1%,14
624,NetComm Wireless Limited,ASX:NTC,Information Technology,Australia,47,-4%,6
560,Cougar Metals NL,ASX:CGM,Materials,Australia,44,-6%,6
635,Pro-Pac Packaging Limited,ASX:PPG,Materials,Australia,24,5%,10
8900,MMG Limited,SEHK:1208,Materials,Australia,83,-6%,9
584,Finders Resources Limited,ASX:FND,Materials,Australia,26,-1%,19
593,Grange Resources Limited,ASX:GRR,Materials,Australia,24,-5%,18
543,Beadell Resources Limited,ASX:BDR,Materials,Australia,59,-1%,18
583,Fortescue Metals Group Limited,ASX:FMG,Materials,Australia,33,7%,21
14867,Newcrest Mining Limited,ASX:NCM,Materials,Australia,95,-2%,19
634,Pact Group Holdings Limited,ASX:PGH,Materials,Australia,51,-3%,23
642,Regis Resources Limited,ASX:RRL,Materials,Australia,37,0%,14
643,Resolute Mining Limited,ASX:RSG,Materials,Australia,72,1%,6
6405,BHP Billiton Limited,NYSE:BHP,Materials,Australia,100,-5%,6
17604,Arrium Limited,Private:Arrium Led,Materials,Australia,74,6%,24
12550,Perseus Mining Limited,TSX:PRU,Materials,Australia,64,5%,24
20470,AAA Egg Company Proprietary Limited,Private:AAA Egg Cy Limited,Others,Australia,70,-7%,16
8266,Telstra Corporation Limited,OTCBB:TLSYY,Telecommunication Services,Australia,16,7%,17
20592,Ausgrid,Private:AusgridAusgrid,Utilities,Australia,49,0%,21
21692,Sail & Surf Produktions- Und Handelsgesellschaft M.B.H.,Private:Sail & Suft M.B.H.,Others,Austria,5,-8%,23
12789,Polytec Holding AG,WBAG:PYT,Consumer Discretionary,Austria,93,-8%,25
12784,OMV Aktiengesellschaft,WBAG:OMV,Energy,Austria,19,0%,20
20862,Huppenkothen GmbH,Private:Huppenkotthen GmbH,Industrials,Austria,46,5%,20
9654,ams AG,SWX:AMS,Information Technology,Austria,11,3%,11
18202,Borealis AG,Private:Borealisealis AG,Materials,Austria,33,-1%,12
17352,State Oil Company of the Azerbaijan Republic,Private:Stateublic,Energy,Azerbaijan,26,3%,6
16404,Azerbaijan Government,Private:Azeent,Government Institution,Azerbaijan,84,-4%,18
17108,Steiner Leisure Limited,Private:Steinerle,Consumer Discretionary,Bahamas,67,-3%,9
8747,Ultrapetrol (Bahamas) Ltd.,OTCPK:ULTR,Industrials,Bahamas,11,3%,8
17292,Bahrain Steel BSCC E.C,Private:BahraC E.C,Materials,Bahrain,2,5%,6
17657,"Bangladesh Oil, Gas & Minerals Corporation",Private:Bangladeporation,Energy,Bangladesh,67,6%,9
1888,Van De Velde NV,ENXTBR:VAN,Consumer Discretionary,Belgium,74,-7%,25
1833,Anheuser-Busch InBev SA/NV,ENXTBR:ABI,Consumer Staples,Belgium,70,-3%,11
1883,ThromboGenics NV,ENXTBR:THR,Healthcare,Belgium,84,4%,11
1886,UCB S.A.,ENXTBR:UCB,Healthcare,Belgium,78,2%,10
7818,WABCO Holdings Inc.,NYSE:WBC,Industrials,Belgium,9,-5%,19
18451,Saverco NV,Private:Saverco Naverco NV,Industrials,Belgium,74,4%,23
1887,Umicore S.A.,ENXTBR:UMI,Materials,Belgium,67,-2%,20
20860,Belchim Crop Protection NV/SA -> Compagnie Immobiliere Holding Be Nv,Private:Compagnieing Be Nv,Materials,Belgium,62,2%,24
7551,Signet Jewelers Limited,NYSE:SIG,Consumer Discretionary,Bermuda,41,-3%,23
7695,Teekay Offshore Partners LP,NYSE:TOO,Energy,Bermuda,69,-5%,7
7664,Teekay LNG Partners LP.,NYSE:TGP,Energy,Bermuda,26,0%,6
8428,Energy XXI Ltd.,OTCPK:EXXI.Q,Energy,Bermuda,44,-2%,19
5382,Golar LNG Partners Limited Partnership,NasdaqGS:GMLP,Energy,Bermuda,71,0%,8
